,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Acquired Immunodeficiency Syndrome,0.04654068214591329,0.0031559687868104994,0.009780831782203793,0.0112341770147484,0.09019811120960475,0.7350812088889426,0.004964907959317848,0.4035353356296638,0.2983067855324398,9.389399206567842e-05,0.008682849318686545,0.008811716085257422,0.003119210174011027,0.14380285685788802,0.2660910553306205,0.0007771142986615021,0.10820915049252282,0.2440386209520166,0.00568126147208043,0.03511888351246007,0.0008812068356797098,0.11819421412070523,0.0040365240075977,9.442589827769809e-05,0.0008242049271139525,0.03945483248408648,0.001265516243798817,0.06333359066932583,0.011912431884577801,0.2751635463306315,0.008222359407971206,0.011023819612669255,0.001931494399726119,0.11777457110956736,0.22233911178552965,3.436630191721349e-05,0.00819820441413601,0.07738495028152456,0.036378042170025604,0.008494774047097172,0.11826561370604714,0.09408029130457216,0.0025078126973735555,0.0483191951916575,0.3176255546177759,0.1159870801258467,0.21931251291907136,0.01787958612692066,0.35572486109364565,0.049493923132416656,0.014198238204356626,0.013256279272617638,0.07802358396788169,0.012356191756775705,0.03880344097602392,0.008244985224428783,0.0037813324018224894,4.18944316603736e-05,1.716813680627504,0.06317042040907374,0.028667622834592954,0.02751948896735271,0.3796342968616698,0.0011127610273552922,0.0015041977167129517,0.029282834380865094,0.03520796447992325,0.12289544939994812,0.039991330355405814,0.04461328312754631,0.1164668723940849,0.07156103104352951,0.0926021188497543,0.08442061394453049,0.08671598136425017,0.14410978555679319,0.1128825545310974,0.0371338315308094,0.11032623797655104,0.041959788650274284,0.06106306239962578,0.06152936443686484,0.18293094635009763,-0.0011595966061577199,-0.001964291092008352,0.013360515236854551,0.08215732872486113,-0.001100540510378778,0.05215463787317277,0.00807904452085495,0.06347865611314774,-2.2850597858337096e-08,0.036498606204986565,-0.0007221363484859465,0.28160429000854487,-0.0090090399608016,0.1244812160730362,-0.00991552509367466,0.03265244886279106,0.03481106832623482,0.07012678682804108,0.09050022065639497,0.05221881344914436,0.08844541013240814,0.040099233388900764,0.1475449800491333,0.07254251837730406,0.03570719808340073,0.025773515924811363,0.1506732702255249,0.016563396900892258,0.015461836010217665,0.4824639856815338,0.027489963918924328,0.052489101886749275,0.11193224042654035,0.08759091794490816,0.11995273828506467,0.06652038544416428,0.04594690725207329,0.050512947142124176,0.08098594844341278,-0.002026666654273868,0.06842367351055145,0.07413153350353242,0.08574558794498444,0.07096178084611893,0.15813250839710238
Glioma,0.16925108275466627,0.27707755434470377,0.0027227888086283425,0.2363772916550158,0.1442070412205318,0.06431052279262589,0.4989309091708431,0.18971320710610312,0.11370610925971728,0.199797817607596,0.13382524143340238,0.12211484245665617,0.06203509501162328,0.28089289331817513,0.0889386316067522,0.2766598146840001,0.1950921202385949,0.21747663033369005,0.19391059646590392,0.299271113666,0.37694879363420963,0.15837263816531885,0.24933425239347692,0.02528935289416903,0.1233698422480036,0.05179739053492009,0.1682420254756068,0.4704609643795675,0.1280353582829494,0.16530635675398914,0.5028257675935562,0.2700118781395236,0.1429470182391052,0.08478064845592921,0.13228282890140933,0.0835012406566099,0.025176409301919125,0.15977337815744652,0.32499059012147574,0.05391566667649453,0.3522524232385254,0.21151961897253074,0.03242487132722658,0.07557410743635488,0.03564640939801478,0.3979913100294787,0.1091675536377604,0.1471493309089808,0.061366015804347786,0.10980455014134868,0.14576922359572436,0.4562889204157429,0.08230099994337549,0.10917502364854685,0.2583878708909244,0.19266821665741354,0.1560257108313005,0.22953421963871812,0.2877738795923357,0.22521336601513656,0.07380955562303036,0.2615487598622966,0.11804628877305043,0.10836762809121343,0.04500481486320496,0.3507768511772156,-0.006708248052746058,-0.007137513253837824,0.3886659145355225,0.39879208803176885,0.03352576494216919,0.4148059487342834,0.08832056820392607,0.35089021921157837,0.3893471360206604,-0.006947191897779703,-0.009014469571411608,0.3662820756435394,-0.007296537514775989,0.271464318037033,0.3655187785625458,-0.006104417145252228,0.020840318873524666,-0.010586853139102459,-0.016852805390954014,-0.005182146560400724,0.2942259311676025,-0.009177193045616148,0.24268542230129245,-0.0076932804659009,0.3351934552192688,-2.2503149565977765e-08,0.38153836131095886,-0.008132684044539928,0.033672600984573364,-0.006744350772351026,-0.009157272987067698,-0.007977922447025776,0.15092632174491882,0.21562661230564123,0.3210056722164154,0.3441545069217682,0.39965477585792547,0.340279221534729,-0.008479679003357887,0.06164858862757683,0.2517251670360565,0.37428084015846247,-0.0013710450148209927,-0.007964417338371277,0.20080646872520447,0.015090420842170715,0.272384375333786,0.21465989947319034,0.35265144705772405,0.04811779037117958,-0.0016856882721185684,-0.006833499763160945,0.35050997138023376,-0.006481046322733163,0.38141882419586176,0.3711838126182556,-0.012083913199603556,0.2830991148948669,0.30072593688964844,0.3820938169956207,0.31451973319053644,0.048833031207323074
"Carcinoma, Non-Small-Cell Lung",0.19410195426948446,0.5120596316312773,0.040661549556746036,0.016481938596978312,0.09538347707189673,0.22332450789843267,0.018900913599091976,0.0808808227986529,0.14625587412858643,0.1680848625804169,0.199848355605659,0.0771654873261564,0.06485922272108774,0.05121568587099656,0.118981916416227,0.20799490390536576,0.34125951659166354,0.07938689677650791,0.11263484965149725,0.003605155367653519,0.44778116795254697,0.20811017205039994,0.011102410331384174,0.23405828388506855,0.23570680537781413,0.10141837367261099,0.010309819173051104,0.3240394503206207,0.16127266945722069,0.11425074471829716,0.5250266922896542,0.3113285566313263,0.21553579848837567,0.05281868994240107,0.14807365765484493,0.01876294809481098,0.15925601317737992,0.3951989709075671,0.31101502530673886,0.14036337819766953,0.3365343842340283,0.23489225694086444,0.07978482158436807,0.0979956263646446,0.10368706158428205,0.38180033642088357,0.11053213413554241,0.28377358364427757,0.21998191792061564,0.4832625258824274,0.20129957433063206,0.31055759327419125,0.09880916168472759,0.4724369019382941,0.1121950670456056,0.15481793318378645,0.34459963780920616,0.16304427559187992,0.2904599084830013,0.24189531842597056,0.0,0.006046303816634799,0.032077389374437645,0.25813611855969754,-0.001634929678402841,0.35983628034591675,-0.025932660326361656,0.0002009235322475433,0.41604423522949213,0.4352076053619385,-0.0197282824665308,0.466291844844818,0.1631348580121994,0.3433492481708526,0.3902142643928528,0.058980472385883324,-0.00010272637155139816,0.3656601309776306,0.01002105139195919,0.25481265783309937,0.3697926104068756,-0.02744954265654087,-0.009443746879696846,-0.017983561381697655,-0.030687501654028893,-0.020073724910616878,0.1989086866378784,-0.016248222440481182,0.15473675727844238,-0.014380185864865778,0.2886964678764343,-2.2700117341400983e-08,0.39176663756370544,-0.014204290695488453,0.08418987691402435,-0.007089809980243444,-0.0007466495153494179,-0.008600935339927673,0.07877732813358307,0.21274985373020167,0.22936834394931796,0.3746112585067749,0.4333317577838898,0.279562383890152,-0.029196968302130692,-0.013883135281503202,0.18951287865638727,0.3892113268375397,-0.013695704750716688,0.04935794323682784,0.16953839361667633,-0.010415998287498951,0.5325006842613219,0.13913959264755246,0.3684873282909393,-0.017852479591965675,-0.02400623634457588,0.017229344695806503,0.3491359055042267,-0.025727147236466408,0.41397801041603083,0.3760778605937958,-0.021244918927550316,0.21186707913875577,0.2233324646949768,0.3429193496704101,0.22960701584815976,-0.01226205285638571
Urinary Bladder Neoplasms,0.2360897405633778,0.35695785045428907,0.19564401210328464,0.12540064495217418,0.12109920886994209,0.20546734752255794,0.3373485608869963,0.10687436199834172,0.13579398836477943,0.027303320906811004,0.1940057190908914,0.07158147796257798,0.23412026336719677,0.12352092083022877,0.08877477872843213,0.007873472048545938,0.17938418200191822,0.17633212691668243,0.23418133455477697,0.22498220523361928,0.3717784771045347,0.0897317626601873,0.45861750495812903,0.10999070327024002,0.39209857646005103,0.05543873848208268,0.08102520014497948,0.4028609828422507,0.24574600868234706,0.13697266848509457,0.5683496863580358,0.0,0.3499294518601997,0.15716861759223613,0.1454413401656138,0.22701215392017815,0.28643481326165365,0.1918676617845741,0.07606044641084281,0.05498542991683331,0.28986732598998144,0.21991576545640415,0.18539790584256888,0.004542412305442588,0.12486715845313753,0.22477508472672778,0.12877523296085874,0.07491194410513985,0.04137448967430839,0.20546666253650633,0.17562685758818206,0.44622899601885563,0.055326568213250375,0.34170261503980476,0.3293999838192123,0.07256801265786425,0.19482220508047027,0.366309834041442,0.34568841625269003,0.13997266201940203,0.12424646288131765,0.13589354154341848,0.10040752496581165,0.14152740838987388,0.10172377526760099,0.5266961455345153,-0.0034075640141963963,-0.021685866639018055,0.5763342380523682,0.5845094919204712,0.09462919831275943,0.5855045914649964,0.053907930850982666,0.5007761716842651,0.5486903786659241,-0.025237848982214928,-0.025151794776320457,0.5599846839904785,-0.02147549018263817,0.3994739055633545,0.52670818567276,-0.0027239292394369836,-0.002736922120675445,-0.011744660325348375,-0.018647830933332443,-0.0014608324272558093,0.4639789462089539,-0.010098129510879515,0.38570153713226313,-0.008973975665867329,0.5174693465232849,-2.222442141430747e-08,0.5739067792892456,-0.008887175470590591,-0.013414166867733,-0.005117524415254593,-0.02548626996576786,-0.00636711111292243,0.2500260174274444,0.3126209378242493,0.5137817263603209,0.459387481212616,0.5824824571609496,0.5192772746086122,-0.005601135082542896,0.10024577379226685,0.38165956735610956,0.5563913583755493,0.025527209043502808,-0.027011429890990254,0.3163891136646271,0.0739305093884468,0.01351134479045868,0.3495420217514038,0.498504251241684,0.1187574341893196,0.02807679399847984,-0.021950734779238704,0.5034787654876709,-0.0037906877696514125,0.5499865412712097,0.5241352915763855,-0.012821405194699763,0.4373958110809326,0.4685349166393281,0.5734952688217164,0.4989894628524781,0.054613329470157616
Lymphoma,0.25677202002359617,0.15843711671606228,0.22607394687174534,0.24019376592384378,0.1140129955538813,0.14515472752910125,0.06898198653360664,0.21759747457725595,0.07909294387913177,0.17819341140753334,0.17258668428912044,0.09414851631393806,0.12374167358713409,0.0,0.22399816540653064,0.15995507572924214,0.22742524533980382,0.03326092148344856,0.26642846401524767,0.4074732385794096,0.4477838948671017,0.4051096317205278,0.4311454818430751,0.15873663401239368,0.029225264796839765,0.15324013452563381,0.2764493730536868,0.27493752916056996,0.033111182583033444,0.16720934267059973,0.5214175912453884,0.15189704226421374,0.13871257083945973,0.1614196753449699,0.10645616386619727,0.09217965273433579,0.17797009356068064,0.06893387369446378,0.19828090606509544,0.14544567404826939,0.4487853848174079,0.15841794071092877,0.013087637634199458,0.06109680068526852,0.10398257284850579,0.4860131612679246,0.08532792760799783,0.16573505920154222,0.09385437512694637,0.5994351779046305,0.019063184499770968,0.10814070172295775,0.14104968374598315,0.15792728579295393,0.02853239391217061,0.22340974105759312,0.1803922535321143,0.04117689677151916,0.22992207479138146,0.14648481730124427,0.09143512548465432,0.1496145453858403,0.16268738087200843,0.0,0.08503017574548721,0.4379954636096953,-0.015945333987474438,0.0019809119403362274,0.4976973533630371,0.5098932981491089,-0.011849123053252697,0.5280009508132933,0.192205473780632,0.432412713766098,0.4877335429191589,0.032088298350572586,-0.001426181639544666,0.4557524025440216,0.0020495112985372543,0.3669909536838531,0.4667580425739288,-0.018163925036787983,-0.013959291391074657,-0.006856079678982496,-0.02059914357960224,-0.00863868650048971,0.34327518939971924,-0.005596668925136328,0.2952307164669037,-0.004041138105094433,0.3939859867095947,-2.2574681679543573e-08,0.4736999869346618,-0.004035844933241606,-0.00990674179047346,-0.00537795713171363,-0.002877762541174889,-0.006934489589184522,0.19675913453102112,0.3141305446624756,0.34488576650619507,0.4391472935676575,0.5122817754745485,0.4022381007671356,-0.020882755517959598,-0.010786497965455055,0.31134697794914246,0.4683533310890198,-0.002767646685242653,0.02267714962363243,0.288399338722229,0.007444143295288088,0.25223368406295776,0.27225589752197266,0.4524841606616973,-0.010558099485933779,-0.016843054443597794,0.02128712460398674,0.451726108789444,-0.01684637740254402,0.4796444177627564,0.4581650495529175,-0.01029437035322189,0.34787899255752563,0.31923407316207886,0.43891242146492,0.34132441878318787,-0.012154474854469298
Stomach Neoplasms,0.22501264386649641,0.05224726656352003,0.2730879683955951,0.1524372965901102,0.2031609869488444,0.20895955837008623,0.3764916228290634,0.16990011940779,0.08485226412958709,0.09883868007045842,0.21416033378210084,0.12143821992290617,0.20040183897886235,0.1324224777908834,0.287152336557476,0.04211038054888661,0.36015435881587243,0.10719434091998135,0.18551450633824368,0.15839129054529946,0.38040865053693806,0.028496990483074552,0.01642338520535112,0.26213798089119017,0.4340249803750226,0.1054232112912754,0.279932009571519,0.13355638486402788,0.001289740218604141,0.14747876542976956,0.49224602384090765,0.13045619784646512,0.36899202766964523,0.1370138435634923,0.1137614047911478,0.039095142111703306,0.20108511044199748,0.049666819049107726,0.09468536255986526,0.151284453915594,0.3398697294134156,0.0567157070289987,0.061533711686933744,0.06419651259058178,0.21479575327231512,0.174494782566986,0.12886716587777364,0.33672289587417026,0.11512712027617372,0.580952844645588,0.08153737236213678,0.1463665583553789,0.23392462924739663,0.13603398388322335,0.36607980025715575,0.10045934822230691,0.06367229672469332,0.18357239492834193,0.08523891855244715,0.32106617582884095,0.0926292867715587,0.11186744814480815,0.12588260536455687,0.14380489980444763,0.0033681131899356838,0.2493586838245392,-0.002093680202960968,-0.006338466890156269,0.2732489705085754,0.282547652721405,0.10240729898214339,0.3021464049816132,0.043433882296085365,0.26373267173767084,0.2896267771720886,-0.006828934885561465,-0.007969063706696033,0.25990915298461914,-0.006762956269085407,0.18160319328308103,0.26349061727523804,0.0017116963863372803,0.12502138316631317,-0.011582310311496256,-0.013442669995129108,-0.004061919637024403,0.21895137429237363,-0.010337050072848797,0.16928620636463165,-0.00880472268909216,0.24975591897964486,-2.25502017059398e-08,0.27356949448585516,-0.009620731696486471,0.16080833971500397,-0.008013419806957245,-0.007163739297538997,-0.009043112397193907,0.09239064157009123,0.13303619623184204,0.2516373693943024,0.25956046581268316,0.28474792838096613,0.25520756840705877,-0.0018277183407917617,0.14433684945106506,0.1794523298740387,0.26688262820243835,-0.0017342958599328997,-0.007465279195457697,0.11649449914693832,0.0005728751420974731,0.3629180490970612,0.13979744911193848,0.2560761272907257,0.11539135873317717,0.056219454854726784,-0.006986246909946203,0.251935750246048,-0.0009263027459383012,0.2773455381393433,0.28013366460800165,-0.01214509643614292,0.20211216807365415,0.2413441091775894,0.2955564260482788,0.24560374021530154,0.14047087728977203
Thyroid Neoplasms,0.16211104938900261,0.17955137212584585,0.14497353650309472,0.14774496972982598,0.11718401376047773,0.2732997338897933,0.264362659270336,0.21379070650596987,0.12864407884504728,0.16481203626131122,0.15458078385193774,0.054997882878694684,0.12579531455203882,0.19263956472844013,0.09574809854692215,0.09567932508344716,0.24907245950613252,0.15009347173604393,0.19839606923583863,0.30106639667003016,0.43211127799394794,0.09789634508791081,0.20567419251656152,0.28710804463476,0.27688058259976595,0.09683993350790258,0.15249154268089274,0.2489592086764569,0.09887480232075484,0.16558073457438763,0.39286125732435156,0.31490654926162365,0.10446195338714047,0.10602440404803308,0.08576267917056395,0.013926306050082332,0.2072018242479944,0.016031888205243202,0.3144536773476037,0.10726024775053816,0.23100219765240193,0.12355610014185488,0.13928636539170963,0.005737622106871461,0.15362375630512248,0.24587067718181685,0.1436766910722788,0.7271101900237504,0.06887047796844227,0.5050276146627833,0.13319258056412017,0.17852451244032067,0.1544229165688492,0.020836776476432832,0.3489100270166643,0.10425428892082886,0.03255628196747944,0.1981914597266706,0.03732757819986334,0.3987244151347326,0.0,0.20929178995448464,0.11766273330749245,0.30590739659084537,0.06060225516557693,0.3473593592643737,-0.008476163260638714,-0.0005091000348329544,0.3926002681255341,0.4037813246250153,-0.001453594537451863,0.42126896977424627,0.13969972729682922,0.3514218330383301,0.39247369766235357,0.010993540287017824,-0.002144382568076253,0.3639388382434845,-0.0008239598828367891,0.2859242260456085,0.3718705773353577,-0.008760456927120684,-0.002281731693074107,-0.006695479154586791,-0.015302943065762522,-0.005087380763143301,0.28881168365478516,-0.005520441103726625,0.2412458658218384,-0.003960873000323772,0.323584496974945,-2.2599474291951083e-08,0.37786644697189326,-0.004442660603672266,0.01705250330269337,-0.006441667675971984,-0.002736387774348259,-0.007744719274342061,0.158797949552536,0.2363421469926834,0.2965346574783325,0.3530581593513489,0.4057972729206085,0.3324638903141022,-0.011253461241722107,0.0024009719491004944,0.2528631091117859,0.3722764551639557,-0.0008811090374365449,0.0025370977818965916,0.2158953696489334,0.01676568016409874,0.2955661416053772,0.21656790375709534,0.3586585521697998,-0.0002981785801239312,-0.006220582406967878,0.00567854568362236,0.359171062707901,-0.00858477782458067,0.3842257559299469,0.3721752762794496,-0.008892978541553022,0.284131407737732,0.2779219746589661,0.3682558238506317,0.2916339039802551,-0.0008017364889383315
Uterine Cervical Neoplasms,0.1271573017244403,0.3624345080905102,0.5772256591160103,0.169624992192327,0.1223026661737299,0.044332724330946024,0.6373615954242083,0.17530192293220892,0.16616939194528904,0.09013231839004852,0.049522554350091494,0.19227827226942307,0.0034513223234295715,0.11156033126768701,0.07187286775071318,0.1479621790894118,0.23145484760265478,0.14877333873496468,0.1824573353278151,0.019448618434380647,0.27047533618231323,0.12301402642309932,0.03073800389005903,0.320025109005088,0.483582522376839,0.15606945855104823,0.48591125610232033,0.42788930360295224,0.10749157550950535,0.12537589378539943,0.16419045047675673,0.02240350181442962,0.32440012982367084,0.06570508963166091,0.09828591183603683,0.15712106249090427,0.22718906546029913,0.29927222491721034,0.08746381153294738,0.12442140319734918,0.025233314022960394,0.1442915734864585,0.13129442884871367,0.14549233664136357,0.15477179271871197,0.35408099452692054,0.16040671605277967,0.5874637446623169,0.023633347052542882,0.46682531319848464,0.05081987027213988,0.6092023655414256,0.05281993402989721,0.05443247484645478,0.4009369567181412,0.1331210894295034,0.0,0.2332443671341009,0.1170035935696921,0.09191811712945848,0.16161609723814013,0.010254565139931605,0.05213865877041696,0.10917701581749095,0.03881022334098816,0.3059633374214172,-0.0020834298338741064,-0.005881750956177712,0.3381394743919372,0.3464341461658477,0.08128958195447922,0.3618765771389008,0.07501807808876038,0.3180970251560211,0.35017913579940796,-0.006783524062484503,-0.007890718057751654,0.3218183815479278,-0.006431192159652709,0.2428356260061264,0.3261639177799225,-0.0006411276990547775,0.06473208963871001,-0.008258490823209284,-0.012138688005506992,-0.0022104270756244655,0.2755233049392701,-0.007089753635227679,0.2255434840917587,-0.0056775412522256374,0.30390840768814087,-2.2531390087010547e-08,0.33436754345893854,-0.006363698281347752,0.06836780160665512,-0.007119209971278906,-0.00754226464778185,-0.008212260901927948,0.13755208253860474,0.1924082785844803,0.29838091135025024,0.3090522885322571,0.34910097718238836,0.3123691082000732,-0.002972925547510385,0.10554604977369308,0.23343330621719355,0.32641986012458807,0.003602162003517151,-0.007373498287051917,0.17755027115344998,0.0255715474486351,0.275023490190506,0.19579270482063293,0.3140682876110077,0.09272146970033646,0.03292417153716087,-0.006188297178596257,0.3146205544471741,-0.001372508006170392,0.33340197801589966,0.33508902788162237,-0.009251037612557413,0.26158323884010315,0.28039324283599854,0.3480742275714874,0.2917056977748871,0.09149050712585448
"Cardiomyopathy, Dilated",2.540664618610671e-26,3.8401807155577377e-31,7.709802794369431e-17,0.0016911338606418367,1.010367722029848e-17,1.8212334548383725e-47,4.214507699356601e-15,6.995073903214588e-23,1.7418822454237588e-72,4.666761910524871e-78,2.262345550301564e-75,7.443277076374841e-21,1.3246771021390826e-127,3.002170964589374e-91,7.020141720180837e-26,6.606086344543734e-42,1.1026488849160143,0.03080553419146921,8.935690184270133e-54,9.209617773229801e-110,7.381037298441386e-59,2.0577941272991245e-57,7.984945891455493e-50,5.69558558965593e-26,3.22845833515349e-88,1.0731667727463873e-06,1.2662197195839964e-34,6.18594146626605e-33,8.020943190247452e-16,6.07526118581381e-08,3.7986933384764446e-91,1.3400111794286717e-64,3.878835788123165e-07,9.250511130182426e-22,0.0002840105841330166,5.709715713192962e-76,6.975595143682872e-12,4.116653028520297e-12,7.622760845813496e-12,5.328440983192871e-96,6.08952106303333e-10,0.015674120248547304,7.223416394065972e-25,1.2905181622646123e-233,0.002114288146235897,9.161367139519932e-39,0.4620527016432853,1.407196343700262e-27,5.586789433106871e-13,1.7159411423874799e-18,3.785194218972711e-100,2.210085864411675e-28,4.7379718923380784e-67,1.9616280873029387e-06,4.7125073778304454e-12,9.406312708035973e-91,0.00046588542393371607,4.953727797302604e-49,2.5145277266343374e-160,4.923975143019112e-13,6.551695196376146e-128,6.102967957585378e-19,3.634849046996337e-18,0.0,0.00019819289445877072,-0.0072305584326386434,0.13011229038238525,0.09221209585666656,-0.008169686421751974,-0.008221421390771866,0.20098027586936953,-0.006532298866659402,0.028760470449924462,-0.0008228732622228564,-7.596090290462598e-05,0.08161345124244691,0.08505354821681976,-0.007115758955478667,0.07249663770198822,-0.0016188453882932663,-0.0033548336941748857,0.16138856112956998,0.2477964907884598,0.017428841441869736,0.0780579596757889,0.0779200866818428,0.015870951116085052,0.024164527654647827,0.01815905421972275,0.034420467913150794,-0.0026975490618497133,-2.3219966394094627e-08,-0.007181493099778891,0.01783602498471737,0.2758995294570923,-0.007949150167405605,0.1006104499101639,-0.008298329077661037,0.014013055711984634,-0.0005722500500269234,0.002269022166728973,0.009600400924682615,-0.007418701890856027,-0.0002062097191810608,0.14684778451919556,0.2240162491798401,0.026460163295269006,-0.0071049840189516544,0.061654694378376014,0.09533195197582243,-0.002393929054960608,0.04923656955361366,0.35198226571083063,0.00224318727850914,-0.002099883509799838,0.19696828722953796,0.18375252187252045,0.08191470801830292,-0.002347087720409036,0.14773383736610413,-0.006240316666662693,-0.0008906679577194154,0.028015270829200745,0.005699126049876212,0.013058457523584364,-0.0015466538025066257,0.0076829157769680015,0.2338410019874573
Alzheimer Disease,0.1654888129042304,0.151680476427305,0.2713135831388402,0.18925493507614677,0.2538823675992771,0.08057144088069462,0.022116690388398624,0.27093674369142806,0.032777136920029475,0.13758822092543485,0.13727959331059356,0.1278116070679518,0.49700488406094157,0.24486263574520042,0.4589906123729877,0.284593484550004,0.24910294923077655,0.10177296510418245,0.265748971835021,0.0653757379505568,0.19574450348290173,0.06277947372853393,0.12410665257738708,0.07847107175965962,0.1328691139042876,0.1343843445712742,0.09443004027427593,0.38677554089333976,0.06042082791603912,0.17785219127083607,0.1713584578850358,0.06890460707706894,0.13489671478540044,0.21989462222118403,0.14838026333891113,0.13138903916527164,0.28231954748408933,0.06472632311626557,0.0882621995666499,0.07007725643908991,0.09047489882968666,0.06997558771297313,0.36531646495722847,0.05863391959995541,0.2024325105187479,0.1289774573312651,0.11784884907629269,0.10168531554781601,0.0894573622633427,0.38858552738121427,0.19687049586610933,0.09546033764233643,0.016869853453376313,0.0,0.3738650527388007,0.2611236908961574,0.10387620281783919,0.09690424247846607,0.3033682638413946,0.22341542125167796,0.1327234482012409,0.38582385516340467,0.2469794164465481,0.3322778578702735,0.1601045727729797,0.23850783705711365,-0.00020639672584366053,0.22628100216388705,0.2827479243278504,0.2873370349407196,-0.0020678613800555468,0.3025062382221222,0.2729039788246155,0.2919104397296905,0.32616609334945673,0.2639312744140625,0.2068231999874115,0.2596312463283539,0.20653967559337613,0.29582369327545166,0.3073146641254425,-0.002042067004367709,-0.008926674723625183,0.14081192016601562,0.019117653369903564,0.07217843085527421,0.29587244987487793,0.13781830668449402,0.27210077643394465,0.15589670836925507,0.2514906823635101,-2.281530520065189e-08,0.25610119104385376,0.14300718903541565,-0.007018485106527805,-0.005580596160143614,0.18896764516830444,-0.006969327572733163,0.22271654009819034,0.280238002538681,0.21602575480937958,0.2946246266365051,0.29893347620964045,0.2928409576416016,-0.0055396296083927155,-0.006244739051908255,0.2773098051548004,0.25740712881088257,0.11281583458185197,0.26572853326797485,0.2635918259620666,0.11602658778429033,0.20942464470863345,0.2482709884643554,0.2832412719726562,-0.003060548799112439,-0.005815367680042982,0.2542794346809387,0.31547608971595764,-0.0018089794320985675,0.2666627168655395,0.29143595695495605,0.10316693037748337,0.29937511682510376,0.1964737176895142,0.26414239406585693,0.2161653935909271,-0.007747396826744078
